Source,Batch,Frame,Layer,LayerName,NumDims,Dimensions,RawTensorData
Source_1,Batch_1,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000005 0.000008 0.000009 0.000008 0.000005 0.000006 0.000008 0.000021 0.000039 0.000087 0.000053 0.000062 0.000024 0.000015 0.000006 0.000024 0.000021 0.000011 0.000019 0.000014 0.000018 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000010 0.000009 0.000006 0.000010 0.000005 0.000010 0.000003 0.000026 0.000034 0.000028 0.000030 0.000012 0.000015 0.000004 0.000008 0.000001 0.000005 0.000008 0.000011...[truncated_8160_elements]
Source_1,Batch_1,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614022 0.394050 0.691631 0.796957 0.815977 0.794627 0.507300 0.584607 0.593006 0.633733 0.829674 1.098826 1.236346 1.233523 1.119040 0.949400 0.908112 0.932666 0.794024 0.566756 0.558757 0.535111 0.500089 0.370380 0.113349 -0.340975 -0.312795 -0.072575 0.060920 0.131763 -0.085062 0.265706 0.373931 0.362267 0.674254 0.842734 0.803702 0.935709 1.278137 1.783771 1.813879 1.182985 0.575201 0.795407 0.859311 0.743221 0.595432 0.596019 0.608887 0.760725 0.578946 0.500375 0.526008 0.538831 0.528506 0.575084 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144023 1.173329 1.153467 1.208786 1.247200 1.336354 1.595337 1.791477 1.953525 1.753486 1.728714 1.363379 0.953777 0.607651 0.469072 0.254782 0.275626 0.373473 0.467860 0.875388 -0.017435 0.255429 -0.101381 -0.225831 0.190011 -0.082766 0.208169 0.323846 0.365258 0.477270 0.605619 0.763993 0.864973 1.139755 1.409819...[truncated_32640_elements]
Source_1,Batch_2,Frame_1,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000007 0.000010 0.000008 0.000008 0.000004 0.000005 0.000007 0.000016 0.000024 0.000049 0.000029 0.000033 0.000019 0.000012 0.000005 0.000021 0.000020 0.000011 0.000018 0.000015 0.000018 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000007 0.000009 0.000007 0.000006 0.000008 0.000004 0.000006 0.000002 0.000016 0.000016 0.000015 0.000018 0.000011 0.000011 0.000004 0.000008 0.000001 0.000005 0.000008 0.000010...[truncated_8160_elements]
Source_1,Batch_2,Frame_1,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614022 0.394050 0.691631 0.796957 0.815977 0.794627 0.507294 0.584203 0.590634 0.631204 0.806721 1.072655 1.218655 1.224499 1.094249 0.930287 0.870340 0.901428 0.765342 0.536437 0.537073 0.567332 0.588849 0.424143 0.173746 -0.269125 -0.229468 -0.028884 0.092357 0.141117 -0.082678 0.254543 0.421100 0.388186 0.723370 0.835307 0.693168 0.905436 1.272841 1.791858 1.829473 1.185184 0.571916 0.800698 0.868443 0.757621 0.599601 0.603250 0.614784 0.765052 0.579042 0.498262 0.525266 0.538727 0.528508 0.575092 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144029 1.173177 1.151604 1.204257 1.240356 1.325632 1.580965 1.766585 1.929657 1.734658 1.691845 1.334328 0.923089 0.582379 0.409194 0.155615 0.229312 0.393505 0.506256 0.903803 0.084022 0.259408 -0.044895 -0.224425 0.186090 -0.068786 0.246450 0.383417 0.347635 0.364755 0.589561 0.755408 0.865331 1.144234 1.425604...[truncated_32640_elements]
Source_2,Batch_2,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000007 0.000010 0.000033 0.000003 0.000004 0.000002 0.000001 0.000003 0.000002 0.000006 0.000026 0.000036 0.000006 0.000002 0.000004 0.000003 0.000003 0.000004 0.000006 0.000010 0.000005 0.000009 0.000003 0.000001 0.000001 0.000003 0.000006 0.000008 0.000003 0.000004 0.000006 0.000005 0.000004 0.000004 0.000003 0.000002 0.000006 0.000024 0.000054 0.000048 0.000069 0.000025 0.000024 0.000013 0.000008 0.000012 0.000012 0.000022 0.000513 0.003845 0.001461 0.000224 0.000067 0.000069 0.000327 0.000029 0.000010 0.000008 0.000006 0.000014 0.000009 0.000007 0.000008 0.000002 0.000003 0.000006 0.000007 0.000010 0.000003 0.000013 0.000015 0.000027 0.000010 0.000002 0.000006 0.000004 0.000003 0.000001 0.000002 0.000006 0.000007 0.000004 0.000002 0.000001 0.000001 0.000001 0.000006 0.000006 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000003 0.000026 0.000021...[truncated_8160_elements]
Source_2,Batch_2,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.004616 0.493550 0.930255 0.622575 0.253157 -0.446717 -0.482831 -0.075163 0.213148 0.126437 -0.080362 0.091283 0.259677 0.182216 0.573066 1.446895 1.716449 2.193493 2.388602 2.962848 3.079634 3.214861 3.175595 1.734257 1.969646 1.764519 2.370092 2.490984 2.146382 1.668947 1.195230 1.140939 1.142090 1.924252 1.680626 0.911736 -0.501739 -0.593942 -0.151553 0.072547 -0.244101 -0.027411 0.369002 0.426916 -0.076780 0.135377 0.418808 0.333580 -0.598987 -0.113408 0.371468 0.598867 0.645747 -0.129026 -0.051935 0.247123 -0.493209 0.289848 0.310789 0.849411 -0.006156 0.427082 0.544922 -0.136662 0.242447 0.606076 -0.294851 -0.102480 0.038770 0.005219 -0.084829 0.206910 0.294956 0.384040 0.660063 1.063570 1.569607 1.901700 2.107270 2.278757 2.615051 3.261930 3.624726 2.017848 1.370624 1.404507 1.853419 2.664117 2.735107 2.097908 1.698055 1.932691 1.644120 1.404831 1.734522 2.094886 1.152035 -0.514812 -0.137371 0.145835...[truncated_32640_elements]
Source_0,Batch_3,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000003 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000002 0.000003 0.000005 0.000010 0.000014 0.000014 0.000017 0.000015 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000002 0.000004 0.000005 0.000017 0.000087 0.000054 0.000053 0.000008 0.000004 0.000003 0.000014 0.000005 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001...[truncated_8160_elements]
Source_0,Batch_3,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.003055 0.344723 0.803245 0.416862 0.525168 0.642331 0.686920 0.685432 0.643497 0.606739 0.588398 0.587213 0.578248 0.502544 0.560431 0.455127 0.573531 0.620614 0.614352 0.596080 0.583881 0.577582 0.597180 0.586078 0.552957 0.452250 0.500055 0.447848 0.385961 0.369299 0.364395 0.399329 0.389560 0.145227 0.134337 0.298708 0.409904 0.150868 0.201569 0.432413 0.987506 2.073882 2.222271 2.686290 2.878238 2.936734 2.753965 2.522975 1.766835 -0.431665 0.008752 0.362877 0.855477 1.170122 1.402802 1.413534 1.271804 1.013719 0.278781 0.158710 0.412304 0.331386 0.854557 0.761701 0.716220 0.958390 1.193547 1.178890 1.098253 1.055674 1.174778 1.013552 0.932570 0.721980 0.798859 1.006275 1.133628 1.005922 0.900687 0.834130 0.995400 1.093936 1.097545 0.926782 0.872446 0.949731 1.085997 0.970258 1.164925 1.870947 1.849048 1.968264 3.694718 3.487575 2.619620 2.616434 2.824993 2.624258 1.415112 1.500531...[truncated_32640_elements]
Source_1,Batch_3,Frame_2,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000006 0.000010 0.000009 0.000007 0.000004 0.000005 0.000007 0.000017 0.000025 0.000043 0.000029 0.000033 0.000018 0.000013 0.000005 0.000022 0.000020 0.000011 0.000018 0.000015 0.000019 0.000016 0.000006 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000004 0.000007 0.000009 0.000007 0.000006 0.000009 0.000006 0.000011 0.000003 0.000021 0.000021 0.000017 0.000020 0.000011 0.000012 0.000004 0.000008 0.000001 0.000005 0.000007 0.000011...[truncated_8160_elements]
Source_1,Batch_3,Frame_2,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614022 0.394050 0.691631 0.796957 0.815977 0.794626 0.507293 0.584224 0.590655 0.631066 0.807128 1.070660 1.209400 1.214646 1.078101 0.916215 0.845492 0.889713 0.753469 0.532007 0.559119 0.587708 0.604973 0.513942 0.334492 -0.243949 -0.221153 -0.036857 0.030287 0.154000 -0.078142 0.266329 0.443559 0.480216 0.720017 0.808896 0.690484 0.902643 1.239990 1.766738 1.812144 1.178727 0.550765 0.788262 0.864173 0.755979 0.613013 0.612558 0.617455 0.765890 0.579483 0.499501 0.525661 0.538783 0.528511 0.575090 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144026 1.173137 1.151479 1.203922 1.239820 1.325454 1.579077 1.761301 1.924967 1.728033 1.680299 1.325553 0.907826 0.560431 0.397514 0.151174 0.193838 0.379662 0.541325 0.936726 -0.015525 0.245088 -0.076167 -0.221558 0.188742 -0.063986 0.267702 0.371111 0.332613 0.350796 0.594254 0.771441 0.865503 1.128142 1.409487...[truncated_32640_elements]
