Source,Batch,Frame,Layer,LayerName,NumDims,Dimensions,RawTensorData
Source_1,Batch_4,Frame_3,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000007 0.000010 0.000008 0.000008 0.000004 0.000005 0.000007 0.000016 0.000024 0.000049 0.000029 0.000033 0.000019 0.000012 0.000005 0.000021 0.000020 0.000011 0.000018 0.000015 0.000018 0.000015 0.000005 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000007 0.000009 0.000007 0.000006 0.000008 0.000004 0.000006 0.000002 0.000016 0.000016 0.000015 0.000018 0.000011 0.000011 0.000004 0.000008 0.000001 0.000005 0.000008 0.000010...[truncated_8160_elements]
Source_1,Batch_4,Frame_3,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794627 0.507294 0.584203 0.590633 0.631204 0.806720 1.072654 1.218655 1.224499 1.094249 0.930287 0.870340 0.901428 0.765342 0.536438 0.537073 0.567332 0.588848 0.424143 0.173746 -0.269125 -0.229468 -0.028884 0.092357 0.141117 -0.082678 0.254543 0.421100 0.388186 0.723369 0.835307 0.693168 0.905436 1.272841 1.791859 1.829473 1.185184 0.571915 0.800697 0.868444 0.757622 0.599602 0.603251 0.614785 0.765052 0.579041 0.498262 0.525266 0.538728 0.528508 0.575093 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144029 1.173177 1.151605 1.204257 1.240357 1.325632 1.580964 1.766585 1.929658 1.734658 1.691846 1.334328 0.923089 0.582379 0.409194 0.155615 0.229312 0.393505 0.506256 0.903803 0.084022 0.259408 -0.044895 -0.224425 0.186090 -0.068786 0.246450 0.383417 0.347635 0.364755 0.589561 0.755407 0.865331 1.144234 1.425604...[truncated_32640_elements]
Source_0,Batch_5,Frame_2,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000009 0.000006 0.000003 0.000002 0.000001 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000010 0.000027 0.000007 0.000004 0.000001 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000001 0.000005 0.000221 0.000156 0.000381 0.000195 0.000009 0.000001 0.000001 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000006 0.000008 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001...[truncated_8160_elements]
Source_0,Batch_5,Frame_2,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.304741 0.419914 0.906539 1.353461 1.400871 1.424959 1.351658 1.453484 1.562470 1.335610 1.271712 1.306349 1.315497 1.173525 1.627963 1.411188 1.259994 0.979352 0.641253 0.656613 0.792151 0.835307 0.801998 0.702513 0.531766 0.341812 0.268752 0.183964 0.183945 0.316024 0.403603 0.465873 0.426483 0.391592 0.377568 0.459636 0.474840 0.515399 0.549492 0.567415 0.555196 0.273795 -0.321308 -0.269183 0.116915 0.570345 1.018693 1.068072 1.193091 0.911838 0.717061 0.687898 0.699648 0.675388 0.683076 0.660960 0.596044 0.193591 0.173533 0.131685 0.025480 0.401481 0.878738 1.342845 1.802267 2.196164 2.691459 2.477046 2.029513 2.115509 3.149441 2.997026 2.380706 1.847217 1.984862 2.691748 2.489202 2.005988 1.657727 1.587215 1.711501 2.059023 1.782291 1.805148 1.416075 0.728126 0.403328 0.262880 0.423041 0.588404 0.671926 0.641683 0.557739 0.462822 0.488861 0.572977 0.651461 0.705299 0.855011 1.105321...[truncated_32640_elements]
Source_1,Batch_5,Frame_4,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000006 0.000010 0.000009 0.000007 0.000004 0.000005 0.000007 0.000017 0.000025 0.000043 0.000029 0.000033 0.000018 0.000013 0.000005 0.000022 0.000020 0.000011 0.000018 0.000015 0.000019 0.000016 0.000006 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000004 0.000007 0.000009 0.000007 0.000006 0.000009 0.000006 0.000011 0.000003 0.000021 0.000021 0.000017 0.000020 0.000011 0.000012 0.000004 0.000008 0.000001 0.000005 0.000007 0.000011...[truncated_8160_elements]
Source_1,Batch_5,Frame_4,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794627 0.507292 0.584224 0.590655 0.631066 0.807129 1.070660 1.209401 1.214646 1.078102 0.916216 0.845493 0.889714 0.753469 0.532007 0.559118 0.587708 0.604973 0.513943 0.334492 -0.243949 -0.221153 -0.036857 0.030287 0.154000 -0.078142 0.266329 0.443559 0.480216 0.720016 0.808896 0.690484 0.902643 1.239990 1.766738 1.812144 1.178726 0.550766 0.788263 0.864173 0.755979 0.613014 0.612558 0.617454 0.765889 0.579483 0.499501 0.525661 0.538783 0.528511 0.575091 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144026 1.173138 1.151479 1.203922 1.239820 1.325454 1.579077 1.761301 1.924967 1.728034 1.680300 1.325553 0.907827 0.560431 0.397514 0.151174 0.193838 0.379662 0.541325 0.936726 -0.015525 0.245088 -0.076167 -0.221558 0.188742 -0.063986 0.267702 0.371111 0.332613 0.350796 0.594254 0.771441 0.865503 1.128142 1.409487...[truncated_32640_elements]
Source_0,Batch_6,Frame_3,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000009 0.000006 0.000004 0.000003 0.000001 0.000001 0.000002 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000010 0.000026 0.000007 0.000004 0.000001 0.000000 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000002 0.000401 0.001256 0.002683 0.000924 0.000020 0.000003 0.000001 0.000001 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000001 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000000 0.000001 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000001 0.000005 0.000008 0.000004 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001...[truncated_8160_elements]
Source_0,Batch_6,Frame_3,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.340536 0.417876 0.907788 1.365773 1.434071 1.407947 1.467095 1.614392 1.708387 1.286387 1.118274 1.309943 1.271286 1.282239 1.475334 1.175051 1.155599 0.920653 0.693278 0.700818 0.837149 0.889366 0.898149 0.782538 0.512093 0.317506 0.264246 0.180645 0.182063 0.314183 0.402035 0.466903 0.428124 0.395273 0.381008 0.467070 0.491167 0.520783 0.547932 0.581171 0.594294 0.222879 -0.168801 -0.390276 0.035447 0.491415 0.926077 0.929257 1.395736 1.005548 0.767118 0.723892 0.721196 0.686368 0.686341 0.671979 0.599093 0.195180 0.175553 0.130341 0.039217 0.397034 0.877531 1.338515 1.782822 2.169746 2.692744 2.429548 2.016979 2.035712 2.821045 2.749198 1.771891 1.583428 1.969948 2.533643 2.220336 1.913875 1.643043 1.567737 1.878499 2.075343 1.789430 1.846119 1.347755 0.713090 0.399773 0.256903 0.424436 0.605464 0.677917 0.644870 0.563742 0.479220 0.510156 0.588695 0.644113 0.695428 0.834546 1.038111...[truncated_32640_elements]
Source_1,Batch_6,Frame_5,Layer_0,output_cov/Sigmoid:0,3,4 34 60 ,RAW_DATA:0.000005 0.000008 0.000007 0.000005 0.000004 0.000004 0.000003 0.000003 0.000003 0.000003 0.000002 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000002 0.000005 0.000006 0.000009 0.000008 0.000007 0.000004 0.000005 0.000008 0.000017 0.000024 0.000040 0.000027 0.000033 0.000018 0.000011 0.000005 0.000021 0.000021 0.000011 0.000019 0.000015 0.000020 0.000015 0.000006 0.000003 0.000003 0.000003 0.000004 0.000004 0.000003 0.000004 0.000004 0.000005 0.000005 0.000005 0.000005 0.000003 0.000004 0.000008 0.000024 0.000024 0.000003 0.000010 0.000016 0.000011 0.000007 0.000007 0.000008 0.000005 0.000003 0.000002 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000006 0.000008 0.000007 0.000006 0.000009 0.000006 0.000011 0.000003 0.000021 0.000019 0.000015 0.000018 0.000010 0.000012 0.000004 0.000008 0.000001 0.000006 0.000009 0.000011...[truncated_8160_elements]
Source_1,Batch_6,Frame_5,Layer_1,output_bbox/BiasAdd:0,3,16 34 60 ,RAW_DATA:0.614021 0.394050 0.691631 0.796956 0.815977 0.794626 0.507290 0.584346 0.591815 0.632434 0.809831 1.072126 1.206386 1.208615 1.085791 0.937423 0.871628 0.907067 0.772878 0.525618 0.552399 0.614699 0.656412 0.559860 0.505805 -0.200408 -0.231789 -0.027657 0.054685 0.153076 -0.083751 0.262896 0.447890 0.442603 0.731475 0.840586 0.774260 0.931613 1.254576 1.748801 1.807159 1.164472 0.562241 0.796325 0.871774 0.764947 0.623354 0.615900 0.618244 0.766016 0.580122 0.500258 0.525958 0.538858 0.528511 0.575092 0.622115 0.350730 0.320649 0.189112 0.355373 0.293649 0.745616 1.064580 1.139893 1.144027 1.173099 1.151849 1.204646 1.241739 1.328900 1.582092 1.766372 1.925336 1.726091 1.685258 1.328610 0.924361 0.595987 0.439686 0.220075 0.285631 0.401396 0.544647 0.949350 0.075741 0.253283 -0.035105 -0.223275 0.187365 -0.078044 0.274735 0.360583 0.336715 0.368997 0.588606 0.772293 0.865374 1.136101 1.409693...[truncated_32640_elements]
