Source,Batch,Frame,Layer,LayerName,NumDims,Dimensions,DataType,RawTensorData
Source_1,Batch_0,Frame_0,Layer_0,output_cov/Sigmoid:0,3,4 34 60,FLOAT,RAW_DATA:0.000005 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000012 0.000034 0.000023 0.000019 0.000014 0.000024 0.000057 0.000244 0.000493 0.000356 0.001090 0.001424 0.003532 0.001304 0.000608 0.000301 0.000333 0.000179 0.000009 0.000003 0.000001 0.000001 0.000001 0.000004 0.000006 0.000001 0.000002 0.000002 0.000001 0.000000 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000000 0.000001 0.000002 0.000004 0.000006
Source_1,Batch_0,Frame_0,Layer_1,output_bbox/BiasAdd:0,3,16 34 60,FLOAT,RAW_DATA:0.149888 0.418561 0.921859 0.846501 0.837205 0.958309 0.880892 0.796022 0.703864 0.671333 0.652181 0.705867 0.745426 0.718395 0.987465 0.818238 0.775284 0.731677 0.668292 0.640917 0.659736 0.680115 0.708369 0.722815 0.746344 0.765856 0.890364 1.020002 0.994704 1.161017 1.237282 1.295678 1.151656 0.688761 0.570283 0.727005 1.001714 1.791032 2.485876 4.207194 5.181735 5.010644 3.888520 2.011365 0.698179 0.757586 1.490516 2.073008 2.708939 3.566702 3.693591 3.809502 4.292371 4.949173 4.516763 3.078274 1.909981 0.844088 0.469598 0.280737 0.558275 0.346446 0.833171 1.146333 1.089530 1.404514 1.438380 1.272623 1.202843 1.102123 1.088063 1.097963 1.020108 0.807018 0.830279 0.917255 0.989516 0.834558 0.924441 0.891416 0.999701 1.016660 1.229377 1.264212 1.364769 1.502867 1.713364 1.928011 1.841987 2.466035 2.478029 2.836219 3.669488 3.975073 3.488789 3.805995 3.827536 4.871086 5.011060 5.636224
